sentence,year,base_verb,lemma,form,label
"Und so mündet die Fortbildungsoffensive der Sozialingenieure häufig darin, dass eine Gruppe ohnehin bereits frustrierter Personen in einen Schulungsraum gepfercht ein wird und dort zusätzliche Frustrationen anhäuft.",2009,pferchen,einpferchen,gepfercht ein,1
Zaborsky schaute an im Schlafzimmer in der Dachetage fern.,2010,schauen,anschauen,schaute an,1
"Männer mit nackten Oberkörpern sitzen davor, den Wickelrock um ihre Hüften verschlingen, Tätowierungen winden sich um Arme und Schultern.",2010,schlingen,verschlingen,verschlingen,1
"Der logische nächste Schritt ist es nun, dass wir uns von einem Planeten auf andere ausdehnen.",2009,dehnen,ausdehnen,ausdehnen,0
"Weiten Raum in Gerhard Roths fotografischer Wien-Erkundigung nehmen seine Mauerbilder ein, die er in systematischen Serien hergestellt hat.",2010,weiten,weiten,weiten,0
"Wenn sich ein falscher Tonfall einschleicht, wandeln sie sich zu wüsten Beschimpfungen, die in Schlägereien enden.",2009,wandeln,wandeln,wandeln,0
Aber auch die inzwischen im Preis gestiegenen Septemberkontrakte schwollen in den offenen Positionen um 200.000 Tonnen Kakao an.,2010,schwellen,schwollen,schwollen,0
"Wenn der Blick in den Geldbeutel zum Verzicht erzwingen, bekommen das vor allem die Einzelhändler zu spüren.",2010,zwingen,erzwingen,erzwingen,1
Er pachtete den Parkplatz nebenan und mietete ein Feuerwehrzelt für die Pressekonferenzen.,2009,pachten,pachtete,pachtete,0
Vor allem die Rüden liefern auf sich erbitterte Revierkämpfe – das Hoheitsgebiet starker Männchen kann die Reviere zweier Weibchen umfassen.,2009,liefern,aufliefern,liefern auf,1
Der Akku wird während der Fahrt wieder aufgeladen.,2010,laden,aufladen,aufgeladen,0
Ausschreitungen auf der Karibikinsel Guadeloupe: Nach Protesten gegen die Regierung zündeten Randalierer Häuser an und plünderten ein Rathaus.,2009,zünden,zündeten,zündeten,0
"Das Verbot der Glühbirne würde etwa 15 Millionen Tonnen bringen, rechnen an Kommissionsbeamte aus.",2009,rechnen,anrechnen,rechnen an,1
Ypsilanti und ihr ebenfalls zurückgetretener Generalsekretär Norbert Schmitt beklatschen mit abwesendem Blick.,2009,klatschen,beklatschen,beklatschen,1
Er bekam dafür den Preis für die beste Diplomkollektion.,2009,kommen,bekommen,bekam,0
"Im Ballsaal finden fast täglich Empfänge und Bankette statt, auch die ersten Hochzeiten sind schon verbuchen.",2010,buchen,verbuchen,verbuchen,1
"Und Hu hatte ein paar Tage zuvor das gesamte Politbüro über die Lage briefen lassen und sichergestellt, dass darüber berichtet wurde.",2009,richten,berichten,berichtet,0
"Nein bedanken!, lautet die Antwort jüngster Umfragen.",2009,danken,bedanken,bedanken,1
Demnach kann es unter bestimmten Umständen tatsächlich zu Verbrennungen an den Blättern kommen.,2009,stimmen,bestimmen,bestimmten,0
"Immer wieder gibt es Vorschläge, dass Hobbyschützer und Jäger ihre Waffen nicht zu Hause, sondern an einem zentralen Ort, etwa im Schützenhaus, lagern müssen.",2009,lagern,lagern,lagern,0
"Liebevoll raut er einen von vielen Wellenbrechern auf der Stehplatztribüne an, seine Akribie würde jedem Arbeitgeber ein zufriedenes Lächeln ins Gesicht zaubern.",2009,zaubern,zaubern,zaubern,0
"Schweine wurden mit Eisenstangen erschlagen, ohne Betäubung abgestochen oder noch lebend durch Bulldozer mit Sand zugeschüttet.",2009,schlagen,erschlagen,erschlagen,0
"Abbas, dessen Amtszeit als Palästinenserpräsident seit Monaten abgelaufen ist und der nur noch kommissarisch im Amt bleibt, schwächt dies weiter.",2009,laufen,ablaufen,abgelaufen,0
"An den Hängen krallen sich 200 Jahre alte, krüppelige Bäume fest, kaum groß genug, um ein Dickhornschaf zu verbergen.",2010,krallen,krallen,krallen,0
"Harald Martenstein probiert aus aus, welche Thesen wirklich weh tun.",2010,probieren,ausprobieren,probiert aus,1
"Am nächsten Morgen bietet auch die Fußgängerzone ein ernüchterndes Bild, gesäumt von Tannen und bleichen Eriken in Kübeln.",2010,bleichen,bleichen,bleichen,0
Die Zucchinistreifen und den Knoblauch darin 4 Minuten braten aus.,2010,braten,ausbraten,braten aus,1
"Die irritierende Farbe rührt von Huminstoffen, die der Regen aus den reichen Wald- und Moorböden gewaschen hat.",2010,rühren,rührt,rührt,0
Für 95 Euro kann man sich mit ihr einen Tag lang durch die Gassen verfuttern.,2009,futtern,verfuttern,verfuttern,1
"Doch Bewohner und Arbeitende, die sich während dieser Stunden der Angst in der Winnender Innenstadt befanden, klagten hinterher, ihnen sei nicht angeraten worden, was sie hätten tun sollen.",2009,klagen,klagten,klagten,0
"Oder mit Herzrasen durch den Feierabendverkehr, zwischen Autos und Lastwagen zerquetschen, ein Flehen um heiles Ankommen auf den Lippen.",2010,quetschen,zerquetschen,zerquetschen,1
"Die Spannung der Linien löst sich auf in dem Bild, das sie von Amerika zeichnen.",2009,lösen,löst,löst,0
"Im Stadtkern hat er einen Wald aus drei Meter hohen Holzpfählen angelegt, an die er Ortstafeln und Straßenschilder aus aller Welt geschraubt hat.",2010,schrauben,geschraubt,geschraubt,0
"Die Immobilienpreise gingen durch die Decke, als sich die Innenstädte von Cork bis Galway mit neuen Einkaufszentren und Fußgängerzonen herausputzten und überall neue Wohnsiedlungen entstanden.",2009,stehen,entstehen,entstanden,0
"Nur: Wer ihn wirklich kennt aus, weiß, dass das in diesen letzten so heftigen Wochen nie seine Priorität war.",2009,kennen,auskennen,kennt aus,1
Alle in dem Raum starren wie verbannen auf ein Häuflein kleiner blasser Kügelchen.,2009,bannen,verbannen,verbannen,1
"Die ihr altes Leben aufgegeben haben und hierhergezogen sind, weil sie sich partout nichts Schöneres vorstellen können.",2009,stellen,vorstellen,vorstellen,0
Doch Zweifel an Genschers Disziplinierungsversuchen sind angebracht.,2010,bringen,anbringen,angebracht,0
"Die neue Astronautenkost hatte eine hohe Nährstoffdichte, konnte industriell zubereitet werden und ließ sich einfach lagern aus.",2009,lagern,auslagern,lagern aus,1
"Er ist eben einfach sehr mondän, er quatscht nicht so viel.",2009,quatschen,quatscht,quatscht,0
"An normalen Tagen verstauen sich der Verkehr auf bis zu 700 Kilometern Länge, im Durchschnitt steht jeder Autofahrer elf Stunden pro Monat im Stau.",2009,stauen,verstauen,verstauen,1
"Erfolgreichster Aufsteiger unter den ersten Zehn ist das dänische Restaurant Noma in Kopenhagen, das sich um versieben Plätze auf den dritten Rang verbesserte.",2009,sieben,versieben,versieben,1
"Fügsamkeit passt auch, oder, noch besser, Lernfähigkeit.",2010,passen,passt,passt,0
"Charles Goodhart war 20 Jahre im Dienst der Bank von England und belehren Volkswirtschaft in Cambridge und an der London School of Economics, wo er heute das Forschungsprogramm zur Finanzstabilität leitet.",2009,lehren,belehren,belehren,1
"Damit wollte ich doch nur eines verhindern, dass nämlich hier wieder das Klassenkampfdenken anfängt.",2009,hindern,verhindern,verhindern,0
"Wer für die fraglichen Jahre keine oder keine vollständige Steuererklärung abgegeben hat, muss daher unbedingt klären, ob er dazu verpflichtet war und Steuern hätte zahlen müssen.",2009,klären,klären,klären,0
"Schließlich fischen selbst seriöse Talker mittlerweile so lange in der öffentlichen Kloake, bis sie einen richtig fetten, sensationell widerwärtigen Menschen-Fisch am Haken haben.",2010,fischen,fischen,fischen,0
"Bei einer Standardhochzeit schickt er 20 Tiere, die gibt es ab 160 Euro.",2010,schicken,schickt,schickt,0
Heute können sie den gesamten Bedarf Münchens decken ab.,2009,decken,abdecken,decken ab,1
Ihre Gärten sind den Straßen abgewandt.,2009,wenden,abwenden,abgewandt,0
"Die erwartungsvollen Augen von 45.000 Zuschauern beruhen wohlgefällig auf einer Mannschaft, die sich zur Nationalhymne wie gewohnt unterhakte.",2009,ruhen,beruhen,beruhen,1
"Wanderer nachzahlen mit der Buchung eine Abgabe an die umliegenden Dörfer, die headmen nutzen die Gelder für Gemeinschaftsprojekte.",2010,zahlen,nachzahlen,nachzahlen,1
Über einiges könnte das Volk nicht länger abstimmen.,2010,stimmen,abstimmen,abstimmen,0
"Die Fische ziehen ihre Nahrung aus dem Wasser, indem sie es filtern aus.",2010,filtern,ausfiltern,filtern aus,1
ZEIT CAMPUS: Die meisten Ihrer Experimente machen Sie mit Studenten.,2009,machen,mitmachen,machen mit,0
"sei keiner mehr, schimpfte aus der Altkabarettist Dieter Hildebrandt, der das Teil erfunden hat, und untersagte seinem Erben Richling kurzerhand, die Sendung unter demselben Titel weiterzuführen.",2009,schimpfen,ausschimpfen,schimpfte aus,1
"Die Aufwärmübungen gestaltet Maas mit Sohn Jasper, sieben Jahre alt, aber es ist nicht der Politiker, der das Vater-Sohn-Verhältnis inszeniert, es ist das Kind, das noch huckepack reiten will auf dem Rücken des Vaters.",2009,reiten,reiten,reiten,0
"Frauen wurden geschändet, Kinder mit Drogen zu Kampfmaschinen gedrillt ein.",2009,drillen,eindrillen,gedrillt ein,1
"Ob Vollmilch, Zartbitter oder weiß, ganz ohne Kakao – in der Adventszeit wird wohl so viel Schokolade genascht wie sonst im ganzen Jahr nicht.",2009,naschen,genascht,genascht,0
Vor allem im Nahen Osten und in Asien operieren heute gut drei Dutzend islamische Spezialbanken.,2010,operieren,operieren,operieren,0
"Um das riesige Haushaltsdefizit zu senken, muss die Regierung Steuern erhöhen und Energiesubventionen kappen.",2010,senken,senken,senken,0
"Wenn Sie mich heute fragen aus, wer ich sei, kann ich Ihnen nur sagen, wer ich gestern war.",2009,fragen,ausfragen,fragen aus,1
Kritiker verspotten bereits über das neue Wirtschaftsprogramm des Sonderbeauftragten Chloponin.,2010,spotten,verspotten,verspotten,1
"Jetzt hat man einen Bürgermeister im Amt bestätigt, der die Gesetze dehnt aus.",2010,dehnen,ausdehnen,dehnt aus,1
"Am Ende wuchten aus wir zwölf Kilo auf die Waage am Ackerrand, zahlen 50 Cent das Kilo, fahren mit dem Heuwagen zurück und dann mit dem Renault nach Hause.",2009,wuchten,auswuchten,wuchten aus,1
"Er muss lernen ein, mit Ivonnes Vorstellung liebevoll umzugehen, und ihr seinen Standpunkt erklären.",2009,lernen,einlernen,lernen ein,1
"Die Vorstellungen, was mit dem plötzlich scheinbar unbegrenzt vorhandenen Geld alles angefangen werden könnte, nahmen dabei manchmal schon obskure Formen an.",2009,fangen,anfangen,angefangen,0
"Denn das Ziel der Aktion formulierte die Regierung in Pjöngjang unzweideutig: Das Land habe damit die Sprengkraft und Präzision seiner Atombombe gesteigert, meldete die staatliche Nachrichtenagentur KCNA.",2009,steigern,gesteigert,gesteigert,0
Poppe: Manchmal war es schon sehr erdrückend.,2009,poppen,poppe,poppe,0
Er hat fast zwei Jahre lang Material gesammelt auf.,2009,sammeln,aufsammeln,gesammelt auf,1
"Vom Angeklagten Sgarbi hatte man sich ebenfalls mehr versprochen, er war zwar notgedrungen da, gebieten aber kein beeindruckendes Bild: schmal, bebrillt, mit spatenhaftem Gesicht und der Ausstrahlung eines Schreibtischmenschen.",2009,bieten,gebieten,gebieten,1
"Jenes einer alten Demokratie, die die Macht des Einzelnen derart konsequent bestreuen, ja sogar bricht, dass sie sogar ihr Regierungspräsidium auf sieben verschiedene Köpfe aufteilt.",2010,streuen,bestreuen,bestreuen,1
"Wenn Platzeck loslegt, dann um zuzuhören: Er fragt, reagiert, hakt ab nach, zeigt Interesse.",2009,haken,abhaken,hakt ab,1
", der im 17. Jahrhundert die Gesetze der Planetenbewegungen entdeckte.",2009,decken,entdecken,entdeckte,0
"Das Schaukeln der Dünung bewegt Kolben zwischen den einzelnen Elementen, die Öl unter hohem Druck durch Strom erzeugende Generatoren pressen aus.",2009,pressen,auspressen,pressen aus,1
"Die Kanzlerin habe den SPD-Minister mehr geschätzt als ihn, hatte Glos sich beschwert.",2009,schätzen,geschätzt,geschätzt,0
ZEIT: Was kann uns der Islam belehren?,2010,lehren,belehren,belehren,1
Also sie wieder aus der Kirche bewerfen?,2009,werfen,bewerfen,bewerfen,1
"Kakerlaken gab es bestimmt, doch offenbar waren sie zu schüchtern, um sich zu zeigen, als er das Licht im Zimmer anknipste.",2010,stimmen,bestimmen,bestimmt,0
"Mithilfe neuer kriminaltechnischer Verfahren sollen auf den Bekennerschreiben der RAF zum Buback-Mord DNA-Spuren gefunden worden sein, die von Becker stammen.",2009,fahren,verfahren,verfahren,0
"In Oberösterreich sieht Erich Haider, der forsche aus Landeschef der SPÖ, seine Chancen schwinden, bei den Wahlen im Herbst ernsthaft Landeshauptmann Josef Pühringer herausfordern zu können.",2009,forschen,ausforschen,forsche aus,1
"Dreht dieses oder jenes Rad durch, greift man zum hochintelligenten Programmhebel, der notfalls nicht nur quer, sondern auch längs das Differenzial sperrt.",2009,drehen,andrehen,dreht an,1
"Dem deutschen Feuilleton wiederum, dessen Metier die Interpretation sein müsste, ist bisher rein gar nichts zum Regierungswechsel eingefallen.",2009,fallen,einfallen,eingefallen,0
"Sie lauern und mustern die herausgeputzten Damen mit den viel zu engen Tops und hochtoupierten Frisuren, die in den Ecken stehen und nervös an ihren Handtaschen befummeln, weil niemand diese Mauerblümchen zum Tanzen auffordern mag.",2009,fummeln,befummeln,befummeln,1
"Barfuß betritt Iwan Skobrew die Bahn, kniet nieder, küsst sie, schlurft auf seinen nackten Füßen, die von den eng geschnürten Schuhen noch ganz rot-weiß gestreift ab sind, weiter zum Rand der Zuschauertribüne, wo er Frau und Kind umarmt.",2010,streifen,abstreifen,gestreift ab,1
"Tatsächlich gibt Paul viel Geld aus, um die Scheidung zu beschleunigen und das neue Glück zu festigen, das sich aber leider – je fester es geknüpft wird – umso weniger bewährt.",2009,knüpfen,geknüpft,geknüpft,0
"Während die Kleiderlaus Pediculus humanus mit ihren zwei Unterarten Kopflaus und Hautlaus nicht wählerisch ist und sowohl den Kopf als auch andere behaarte Teile des Körpers befällt, setzt sich die Filzlaus Pthirus pubis fast ausschließlich im Schamhaar fest.",2009,fallen,befallen,befällt,0
"Zu Ihrem Fall: Ich kann Ihnen nur geraten, generell auf die private E-Mail- und Internetnutzung zu verzichten.",2009,raten,geraten,geraten,1
Die Außenminister Bernard Kouchner und Guido Westerwelle So sehen es sogar ausgesprochene Deutschlandfreunde.,2010,sehen,sehen,sehen,0
Doch nicht nur in Südeuropa brennt an es.,2010,brennen,anbrennen,brennt an,1
"Bei einigen ist die Ablehnung sehr groß: Mehrmals schon erhielt Sarkozy Morddrohungen, die vorerst letzte am vergangenen Freitag.",2009,halten,erhalten,erhielt,0
"Immerzu wittern wir heimliches Leid, wenn wir einen gehörnten Gatten erblicken.",2009,blicken,erblicken,erblicken,0
Tismer: Also beim Theater wird rumgeschrien geprügelt gesoffen rumgefickt – dass sich die Balken biegen – da ist richtig was los.,2010,prügeln,geprügelt,geprügelt,0
Sie klammert ein sich an überkommene ökonomische Traditionen.,2009,klammern,einklammern,klammert ein,1
"Die Deutsche Bundesbank dagegen sieht keinen Widerspruch zwischen dem staatlich implizierten Recht des Bürgers, jede Banknote jederzeit in Ware umzutauschen, und der Vertragsfreiheit der Abends dann im Restaurant.",2010,sehen,sieht,sieht,0
"Gleich mehrfach betonten die Richter die Offenheit des Grundgesetzes für den europäischen Einigungsprozess und geloben den Zugewinn an politischen Handlungsmöglichkeiten innerhalb der Union, die einem abgekapselten Nationalstaat notwendig verschlossen bleiben müssten.",2009,loben,geloben,geloben,1
In der fertigen aus Batterie addieren sich die Einzelspannungen vieler Zellen – bei der enormen Energiedichte kann ein leichtfertiger Kontakt fatal enden.,2010,fertigen,ausfertigen,fertigen aus,1
"Die Idee: Alle beteiligten Stellen sollen enger zusammenarbeiten, um Minderjährige besser vor den Folgen von Alkohol zu schützen.",2009,schützen,schützen,schützen,0
"Sägt unter der Brücke lange Kerben ins Eis, um eine Holzgitterkonstruktion einzulassen, die das Eis an kritischer Stelle stützt.",2010,sägen,sägt,sägt,0
"Die ARD hat eine Ehrenamt-Show gesendet, sie räumt sogar eine Woche lang dem Ehrenamt einen Ehrenplatz im Programm ein.",2009,räumen,räumt,räumt,0
"Liev Schreiber ist in dieser Rolle der heimliche Held des Films, mit langen blonden Haaren, imposanten Oberarmen und einem Herz aus Gold.",2009,langen,langen,langen,0
"Mit Resch und Rico verpflegen er anderthalb Hektar Rebfläche, Sohn Christian bearbeitet 13,5 Hektar maschinell.",2010,pflegen,verpflegen,verpflegen,1
"Ein Greis hält seinen Kopf zwischen den Händen und zwingt sich, auf die Monitore an der Wand zu sehen: Gedärm, zerschnittene Kehlen, breiiges Fleisch.",2010,zwingen,aufzwingen,zwingt auf,0
"Keine andere Nation schiebt an im Rahmen einer Kooperation der Schengen-Staaten, die sich einer möglichst effizienten Ausweisung von Zuwanderern verschrieben haben, so viele Menschen ab wie Österreich.",2010,schieben,anschieben,schiebt an,1
"Der Elektriker Leon wird gelegentlich vom Trieb gepeitscht, sucht und findet Erlösung bei Strichern und muss aber seiner Frau beim ungeborenen Kind schwören, dass er dem Drang widerstehen wird.",2009,peitschen,gepeitscht,gepeitscht,0
"Die meisten wären bereit gewesen, für weitere Jahre zu schweigen, wenn man sie nicht persönlich beleidigt und für dumm verkauft hätte.",2009,kaufen,verkaufen,verkauft,0
Großmutter Won-Ok Gil trotzt ab diesem harten Winter in Korea barhäuptig.,2010,trotzen,abtrotzen,trotzt ab,1
"Der Druck des Hauptkatalogs von Quelle beruhen, weil Zulieferer um die Bezahlung ihrer Leistungen fürchten.",2009,ruhen,beruhen,beruhen,1
Das Kloster Eberbach wegblicken auf eine lange Tradition als Weinerzeuger zurück.,2010,blicken,wegblicken,wegblicken,1
"Vom vergeblichen Versuch, in Marseille eine Burka zu kaufen und in der Provence ein Bier zu trinken: Eine Reise auf der Suche nach der Seele Europas (Teil 2).",2010,suchen,versuchen,versuch,0
"Hier bietet sich die Chance, Falsches von Fakten zu zertrennen, den Schutz unseres Planeten ganzheitlich und nicht nur durch die CO₂-Brille zu betrachten.",2010,trennen,zertrennen,zertrennen,1
Er beruhigt einen jungen Mann der ihm von einer verspäteten Teilelieferung aus Europa berichtet.,2010,richten,berichten,berichtet,0
"Doch egal, welches Ziel: Jede Tour beginnt im Gehege selbst, wo sich Mensch und Tier erkennen lernen und etwaige Hemmschwellen überwinden.",2009,kennen,erkennen,erkennen,1
"Der ist experimentell und persönlich, er will keine ewigen Wahrheiten verbreiten, sondern begibt sich auf eine Suche mit offenem Ende.",2009,breiten,verbreiten,verbreiten,0
"Schaut man darauf, wo die Studenten in der Masse wirklich hingehen, hat das mit Ihrem Wohlfühlfaktor nichts zu tun.",2010,schauen,abschauen,schaut ab,1
"Im Dorf Chesho wird mir von der Ammoniakwolke, die aus dem Plumpsklo aufsteigt, von den Schüsseln mit Innereien-Hack und den gekochten Resten eines sehr grob zerkloppten Schafs nur noch mauer ein.",2010,mauern,einmauern,mauer ein,1
"Und solange sie drittens bereit sind, sich im Wartezimmer von der organisierten Ärzteschaft in Geiselhaft nehmen zu lassen, müssen sie sich nicht wundern, dass sich die teuren, ineffektiven und intransparenten Strukturen im Gesundheitssystem nicht grundlegend ändern.",2009,nehmen,zunehmen,nehmen zu,0
"Nach vierjähriger Ehe hatte sich Suleman im Jahr 2000 von ihrem Ehemann getrennt auf, noch vor der Geburt ihres ersten Kindes, das mithilfe eines Samenspenders gezeugt wurde.",2009,trennen,auftrennen,getrennt auf,1
"Das klingt seltsam, ist aber konsequent, da auch die GPs in den Praxen seit Anfang Juli keine Rachenabstriche mehr ins Labor wegschicken.",2009,schicken,wegschicken,wegschicken,1
Wir sitzen auf dem Flur des Präsidiums auf einer Holzbank und warten auf.,2010,warten,aufwarten,warten auf,1
"Er hebe dabei hervor, wie kreativ die Verschiedenheit sein könne, wenn sie denn in ihrer Eigenart geachtet und beachtet werde.",2009,achten,beachten,beachtet,0
Niemandem soll der Spaß an derlei harmlosem Vergnügen ausgeredet werden.,2010,reden,ausreden,ausgeredet,0
Es streichelt ihre Parteiseele und es spornt sie zu einem mutigen Wahlkampf an.,2009,spornen,spornt,spornt,0
"Ich merke auch, dass ich ziemlich stark wachse: Ich kann mich nicht gerade hinlegen, dann tut das rechte Bein weh, das entnerven ganz schön.",2009,nerven,entnerven,entnerven,1
"Es wird etwa gefragt, ob ihre Augen meist geschlossen sind, ob sie sich oft die Augen reiben oder mit den Fingern hineinstechen, ob sie viel mit den Händen tasten ab oder ob sie allein gehen können.",2009,tasten,abtasten,tasten ab,1
"Sony zieht im Herbst mit Neuheiten nach, auch mit funkfähigen.",2009,ziehen,zieht,zieht,0
Der Konzern vermieten sich auch in fremden Server-Farmen ein.,2010,mieten,vermieten,vermieten,1
"Mit einer Mischung aus mitfühlender Wärme und wissenschaftlicher Kälte mustert ab sie die jungen Frauen, die sich, teilweise gemeinsam mit ihren Müttern, Kleiderberge aufladen.",2010,mustern,abmustern,mustert ab,1
"Und ich sagte mir: Und du hockst hier in Bogenhausen, schaust runter auf die Isarauen, hast einen BMW vor der Haustür stehen und jammerst vor auch noch, du bist doch das Allerletzte überhaupt.",2010,jammern,vorjammern,jammerst vor,1
Und zu Hause habe ich einen Riesentopf Nudeln für die hungrigen Mädchen gekocht ab.,2009,kochen,abkochen,gekocht ab,1
"Es kann auch meinen Respekt nicht mindern vor dem Werk eines singulären Stilisten; man soll – zumal im Alter – einen Künstler immer am Gelungenen messen, nach oben schauen und nicht nach unten.",2009,schauen,nachschauen,schauen nach,0
"Ursprünglich hätten sich ihre in drei Meter Höhe angebrachten Diodenkonstruktionen, die Sternbildern und geometrischen Figuren nachempfunden sind, in einem Glasboden spiegeln vor sollen – in Anspielung auf den Glasboden, den König Salomon vor seinem Thron errichten lassen hat.",2009,spiegeln,vorspiegeln,spiegeln vor,1
"Damit können wir positive Erwartungen wecken, die wiederum den Heilungsprozess fördern.",2009,wecken,wecken,wecken,0
"Mit dem hessischen Wahlergebnis steht infrage, was bislang als gängige Interpretation über die Motivation der Wähler der Linken galt: dass sie nämlich in erster Linie Denkzettel verteilten oder Protestwähler seien.",2009,teilen,verteilen,verteilten,0
"All jene in SPD und Linkspartei, die in diesen Tagen die Chance des Lafontaineschen Abgangs leugnen und sich für die unausweichlichen Bündnisdebatten noch reichlich Zeit nehmen möchten, sollten mal in die europäische Nachbarschaft blicken.",2010,leugnen,leugnen,leugnen,0
"Ich habe für die Arsenal-Spieler im Stadion, aber auch bei der Weihnachtsfeier und bei Fototerminen verzaubern.",2009,zaubern,verzaubern,verzaubern,1
"Katalins Blick, wenn sie vor dem Wald steht, in dem sie missbraucht wurde, bedarf keiner weiteren Bebilderung.",2009,brauchen,missbrauchen,missbraucht,0
"Deren Risiken, erwischt zu werden, sind gering.",2009,wischen,erwischen,erwischt,0
"Pjöngjang hat Kurzstreckenraketen an Syrien, Libyen, Ägypten, Pakistan und Iran verkauft.",2009,kaufen,verkaufen,verkauft,0
"Am Mittelkreis war der schlichte Sarg des Torhüters Robert Enke aufgebahrt, ringsum auf den Tribünen lagen sich die Fußballfreunde in den Armen und weinten aus.",2010,weinen,ausweinen,weinten aus,1
"Theoretisch hat jeder, auch jeder deutsche Autor, die Möglichkeit, aus dem Vergleich auszutreten – dann behält er, rein rechtlich gesehen ein, seine Ansprüche gegen Google wegen Urheberrechtsverletzung.",2009,sehen,einsehen,gesehen ein,1
2006 putschte auf das Militär mit Billigung von König Bhumibol Adulyadej.,2009,putschen,aufputschen,putschte auf,1
"Auch die äußerst unterschiedlich gestalteten freiwillige Zusatzgarantien der Hersteller verfälschen das Bild: Audi etwa gibt unabhängig vom Fahrzeugalter allen Kunden, die die Inspektionsintervalle einhalten, eine Mobilitätsgarantie.",2009,halten,einhalten,einhalten,0
